SL No.,State/UT Name,District Name,Mine Name,Coal/ Lignite Production (MT) (2019-2020),Coal Mine Owner Name,Coal/Lignite,Govt Owned/Private,Type of Mine (OC/UG/Mixed),Latitude ,Longitude ,Source,Accuracy (exact vs approximate),
220,Maharashtra ,Yavatmal,RAJUR/BHANDEWADA INC,0.07,WCL,Coal,G,UG,20.11356,78.896,"Google Maps: https://www.google.com/maps/place/Bhandewada+Coal+Mine+WCL/@20.1129277,78.8943561,702m/data=!3m1!1e3!4m12!1m6!3m5!1s0x3bd31b6685b0ca39:0xf6ba644a37215d5e!2sRajur+Colliery!8m2!3d20.104167!4d78.905777!3m4!1s0x3bd31b2e378ca7bb:0x2da18f786057a7f9!8m2!3d20.1135505!4d78.8960275",Approximate coordinates of Bhandewada Coal Mine,
221,Maharashtra ,Yavatmal,UKNI DEEP,1.38,WCL,Coal,G,OC,20.0292,79.0546,EIA & EMP for Environment Clearance for Ukni DEEP OC Mine: http://environmentclearance.nic.in/writereaddata/EIA/10111125112171237-2010.pdf,Exact,
222,Maharashtra ,Yavatmal,KOLARPIMPRI,0.78,WCL,Coal,G,OC,20.0833,79.0333,2017 WCL Land Restoration/Reclamation Monitoring for Opencast Coal Mines: http://www.westerncoal.in/sites/default/files/userfiles/KolarPimpriOCM.pdf,Exact,
223,Maharashtra ,Yavatmal,GHONSA,0.6,WCL,Coal,G,OC,19.9647,78.8326,"Executive Summary of EIA & EMP for Public Hearing as per EIA Notification, 2006 Ghonsa OC Expn.: https://www.mpcb.gov.in/sites/default/files/public_hearing/exe_summary/2019-09/exe_Ghonsa_OC_261216_ENG.pdf",Exact,
224,Maharashtra ,Yavatmal,JUNAD,0.47,WCL,Coal,G,OC,20.0438,79.0679,"Executive Summary, EIA & EMP for Public Hearing for Junad DEEP Extn: https://www.mpcb.gov.in/sites/default/files/public_hearing/exe_summary/2019-07/WCL_Ex.pdf",Exact,
225,Maharashtra ,Yavatmal,PIMPALGAON,0,WCL,Coal,G,OC,20.0458,79.0417,2017 WCL Land Restoration/Reclamation Monitoring: http://westerncoal.in/sites/default/files/userfiles/PimpalgaonOCM.pdf,Exact,
226,Maharashtra ,Yavatmal,Marki Mangli I (CAPTIVE),0.3,TUML,Coal,P,OC,19.8532,78.7861,Addendum to EIA-EMP Report for Marki Mangli - I Coal Mine: http://environmentclearance.nic.in/writereaddata/EIA/28022019PRQAZ1MXEIATEXT.pdf,Exact,
227,Maharashtra ,Nagpur,SILEWARA Colliery,0.12,WCL,Coal,G,OC,21.2990357,79.12341847,"Google Maps: https://www.google.com/maps/place/Sillewara+Mine/@21.2984259,79.1239569,349m/data=!3m1!1e3!4m8!1m2!2m1!1sSILEWARA+coal+mine+Nagpur+Maharashtra!3m4!1s0x0:0xce892232b237695!8m2!3d21.2989709!4d79.1232026",Exact,
228,Maharashtra ,Nagpur,PATANSAONGI,0.07,WCL,Coal,G,OC,21.3238,79.041,"Google Maps: https://www.google.com/maps/place/Patansaongi+Mines,WCL/@21.3240026,79.039691,347m/data=!3m1!1e3!4m5!3m4!1s0x3bd4dd474e55c6ed:0xbb2901f187b0dba3!8m2!3d21.3237889!4d79.0410297",Exact,
229,Maharashtra ,Nagpur,SAONER-I,0.25,WCL,Coal,G,UG,21.3663,78.9275,"Google Maps: https://www.google.ca/maps/place/Office+of+Sub+Area+Manager+(WCL)/@21.3663937,78.9253091,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x60831c136773dbb1!8m2!3d21.3663886!4d78.9274979",Approximate: coordinates of the Office of WCL Sub Area Manager,
230,Maharashtra ,Nagpur,SAONER.II,0.23,WCL,Coal,G,UG,21.3667,78.9087,"Google Maps: https://www.google.com/maps/place/Saoner+Mine+No+2/@21.3666531,78.9065773,695m/data=!3m1!1e3!4m5!3m4!1s0x3bd4e5326b802b33:0x67536c371766b483!8m2!3d21.3666481!4d78.908766",Approximate,
231,Maharashtra ,Nagpur,SAONER-III,0.13,WCL,Coal,G,UG,21.3676,78.9086,"Google Maps: https://www.google.com/maps/place/Saoner+Mine+No+3/@21.3676386,78.9064375,694m/data=!3m1!1e3!4m12!1m6!3m5!1s0x3bd4e504387aeabd:0xca14c40a3ae039b6!2sSaoner+Mine+No+3!8m2!3d21.3676336!4d78.9086262!3m4!1s0x3bd4e504387aeabd:0xca14c40a3ae039b6!8m2!3d21.3676336!4d78.9086262",Approximate,
232,Maharashtra ,Nagpur,WAGHODA,0,WCL,Coal,G,UG,21.3694,78.9272,"Google Maps: https://www.google.com/maps/place/Waghoda+Mine/@21.3694275,78.9260861,347m/data=!3m1!1e3!4m5!3m4!1s0x3bd4e5dfe7457a8b:0x2db69042459d7e29!8m2!3d21.3694225!4d78.9271804",Exact,
233,Maharashtra ,Nagpur,KAMPTEE DEEP,0.8,WCL,Coal,G,OC,21.225,79.225,EIA & EMP for Kamptee Deep OC: http://environmentclearance.nic.in/writereaddata/EIA/2115122612121287-2010-EIA.pdf,Exact,
234,Maharashtra ,Nagpur,"AMALGAMATED GONOEGAON
GHATROHANA",3.5,WCL,Coal,G,OC,21.26629731,79.19242476,"Google Maps: https://www.google.com/maps/place/Gondegaon+Opencast+Mine/@21.2660771,79.190228,883m/data=!3m2!1e3!4b1!4m5!3m4!1s0x3bd4c583b17670bf:0x171be7c9833a0a57!8m2!3d21.2660771!4d79.192422",Exact,
235,Maharashtra ,Nagpur,INDER UG to OC,0.9,WCL,Coal,G,OC,21.2535,79.2192,Application (Form-I) for Environmental Clearance for Amalgamated Inder-Kamptee Deep OC Mine: http://environmentclearance.nic.in/writereaddata/modification/previousTOR/09042019EZ24GEB7FormI.pdf,Approximate,
236,Maharashtra ,Nagpur,BHANEGAON,0.75,WCL,Coal,G,OC,21.2685,79.1574,"Environmental Clearance, Expansion of Bhanegaon Opencast Coal Mine Project: http://www.westerncoal.in/sites/default/files/userfiles/BHANEGAON%20OCP.pdf",Exact,
237,Maharashtra ,Nagpur,SINGHORI,1.12,WCL,Coal,G,OC,21.2657,79.1622,"Environment Clearance, Singhori Opencast Coal Mine: http://environmentclearance.nic.in/writereaddata/EC/31012019LIMWATL6MP.pdf",Exact,
238,Maharashtra ,Nagpur,ADASA UG TO OC,0.004,WCL,Coal,G,OC,21.3399,78.9538,"Executive Summary EIA & EMP for Public Hearing as per EIA Notification, 2006 Conversion of Adasa UG to OC Coal Mine: https://www.mpcb.gov.in/sites/default/files/public_hearing/exe_summary/2020-05/Western_coalExecutive_Summary17122019.pdf",Exact,
239,Maharashtra ,Nagpur,"UMRER EXPN. (AMB RIVER
DIVERSION PHASE - IV)",4.85,WCL,Coal,G,OC,20.8658,79.2839,"Environmental Clearance, Expansion of Umrer Opencast Coal Mining Project: http://westerncoal.in/sites/default/files/userfiles/Env_umrer_ec.pdf",Exact,
240,Maharashtra ,Nagpur,MAKARDHOKRA.I,2,WCL,Coal,G,OC,20.8565,79.2544,"Executive Summary EIA & EMP for Public Hearing as per EIA Notification, 2006 Makardhokra-I Expn. OC: https://www.mpcb.gov.in/sites/default/files/public_hearing/exe_summary/2019-11/ESENEXPN18112019.pdf",Exact,
241,Maharashtra ,Nagpur,MAKARDHOKRA-III / DINESH,4.14,WCL,Coal,G,OC,20.8764,79.2235,Six Monthly Environmental Compliance Report in respect of Dinesh (Makardhokra-III) Open-cast Project: http://www.westerncoal.in/sites/default/files/userfiles/ENV-CR-DINESH%20OC.pdf,Exact,
242,Maharashtra ,Nagpur,GOKUL,1.87,WCL,Coal,G,OC,20.6726,79.2972,Application for Environmental Clearance for Expansion of Gokul Opencast Mine: http://environmentclearance.nic.in/writereaddata/online/EC/06102016IBKDVDYOExecutiveSummary.pdf,Exact,
243,Maharashtra ,Nagpur,Belgaon (CAPTIVE),0.27,SISCL,Coal,P,OC,20.8336,79.337,"Google Maps: https://www.google.com/maps/place/Belgaon,+Maharashtra+441203,+India/@20.8339137,79.325425,2787m/data=!3m1!1e3!4m5!3m4!1s0x3bd4ab7519d804cf:0x8f12c273fc8b7fa!8m2!3d20.832854!4d79.3366982",Approximate: coordinates of Belgaon area,
244,Madhya Pradesh,Singrauli,AMELIA NORTH MINE ,2.8,JPVL,Coal,G,OC,24.1346,82.4264,"Environment Clearance, Pre-feasibility Report Amelia (North) Coal Mine Expansion Project: http://environmentclearance.nic.in/writereaddata/Online/TOR/0_0_28_Jul_2015_1347198431Annexure-PFR.pdf",Exact,
245,Madhya Pradesh,Singrauli,JHINGURDA,2.63,NCL,Coal,G,OC,24.1917,82.72083,Application in Form-I for Revalidation of EC as per EIA Notification 2006 of Jhingurdah OCP: http://environmentclearance.nic.in/writereaddata/modification/previousTOR/16092018CTHLC5XWform1.pdf,Exact,
246,Madhya Pradesh,Singrauli,JAYANT,19.53,NCL,Coal,G,OC,24.151,82.6579,"Environment Clearance, Mine Closure Plan of Jayant Opencast Project: http://environmentclearance.nic.in/writereaddata/Online/EDS/15_Jun_2018_185606153WQ4C9CIUReplybyProjectProponentofJayantExpansionOCP,totheobservationsofEACmeetingheldon17-18May2018.pdf",Exact,
247,Madhya Pradesh,Singrauli,AMLOHRI,13.47,NCL,Coal,G,OC,24.1417,82.5917,Project Summary of Amlohri OC Project NCL: http://environmentclearance.nic.in/writereaddata/Online/TOR/0_0_28_Aug_2014_1826394101briefsummaryofproject.pdf,Exact,
248,Madhya Pradesh,Singrauli,NIGAHI,19.59,NCL,Coal,G,OC,24.1539,82.6322,Mining Plan (along with Mine Closure Plan) for Nigahi Opencast Project: http://environmentclearance.nic.in/writereaddata/modification/Amendment/Attach_file/28072018UJ7EHUK5MININGPLANNigahi.pdf,Exact,
249,Madhya Pradesh,Singrauli,BLOCK - B,5.47,NCL,Coal,G,OC,24.1756,82.565,Application in Form-I for Environmental Clearance (EC) of Block-B OCP: http://environmentclearance.nic.in/writereaddata/form-1/2013_5_14_May_2013_1558326531Block-BFormI.pdf,Exact,
250,Madhya Pradesh,Singrauli,Mohar & Moher-Amlori Extension Coal Mine,18.699,Sasan Power (Reliance Power Limited),Coal,P,OC,24.1358,82.5915,"Google Maps: https://www.google.ca/maps/place/AMLOHRI+COAL+MINE/@24.1256185,82.5802019,6132m/data=!3m1!1e3!4m8!1m2!2m1!1smoher+amlori!3m4!1s0x0:0xf8819694ea408469!8m2!3d24.1358666!4d82.5917816",Approximate,
251,Madhya Pradesh,Betul,CHHATARPUR-I,0.37,WCL,Coal,G,UG,22.15,78.1,EIA & EMP for Chattarpur – I & II Underground Expansion Project: http://www.mppcb.mp.gov.in/pdf/Exe_Sum_Chhatarpur_Eng.pdf,Exact,
252,Madhya Pradesh,Betul,CHHATARPUR.II,0.08,WCL,Coal,G,UG,22.1417,78.1,EIA & EMP for Chattarpur – I & II Underground Expansion Project: http://www.mppcb.mp.gov.in/pdf/Exe_Sum_Chhatarpur_Eng.pdf,Exact,
253,Madhya Pradesh,Betul,SHOBHAPUR,0.17,WCL,Coal,G,UG,22.15,78.125,EIA & EMP for Chattarpur – I & II Underground Expansion Project: http://www.mppcb.mp.gov.in/pdf/Exe_Sum_Chhatarpur_Eng.pdf,Exact,
254,Madhya Pradesh,Betul,SARNI,0.13,WCL,Coal,G,UG,22.1167,78.15,EIA & EMP for Chattarpur – I & II Underground Expansion Project: http://www.mppcb.mp.gov.in/pdf/Exe_Sum_Chhatarpur_Eng.pdf,Exact,
255,Madhya Pradesh,Betul,TAWA.I,0.43,WCL,Coal,G,UG,22.1458,78.1667,EIA & EMP for Chattarpur – I & II Underground Expansion Project: http://www.mppcb.mp.gov.in/pdf/Exe_Sum_Chhatarpur_Eng.pdf,Exact,
256,Madhya Pradesh,Betul,TAWA-II,0.32,WCL,Coal,G,UG,22.1542,78.1917,EIA & EMP for Chattarpur – I & II Underground Expansion Project: http://www.mppcb.mp.gov.in/pdf/Exe_Sum_Chhatarpur_Eng.pdf,Exact,
257,Madhya Pradesh,Chhindwara,NEHERIYA,0.33,WCL,Coal,G,UG,22.2451,78.9817,"Environmental Clearance, Expansion of Naheriya UG Coal Mine: http://westerncoal.in/sites/default/files/userfiles/Naheria%20UG%2028.03.2017.PDF",Exact,
258,Madhya Pradesh,Chhindwara,MATHANI,0.12,WCL,Coal,G,UG,22.2389,78.9311,"Six Monthly Compliance Report of Environmental Clearance, Mathani Underground Mine: http://westerncoal.in/sites/default/files/userfiles/Mathani.pdf",Exact,
259,Madhya Pradesh,Chhindwara,JAMUNIA,0,WCL,Coal,G,UG,22.2911,78.9667,Report on Subsidence Prediction for Jamunia U/G Mine Western Coalfields Limited: http://forestsclearance.nic.in/writereaddata/FormA/Miningletter/8111012461217GX42M3DSubsidenceReportJamunia.pdf,Exact,
260,Madhya Pradesh,Chhindwara,VISHNUPURI-II,0.1,WCL,Coal,G,UG,22.199,78.8626,"Google Maps: https://www.google.com/maps/place/Vishnupuri+Mine/@22.1986413,78.8450181,14z/data=!4m5!3m4!1s0x3bd562e7c079d3bd:0x89b0f9430ab29a7d!8m2!3d22.1989554!4d78.862462",Approximate: coordinates of Vishnupuri mines area ,
261,Madhya Pradesh,Chhindwara,MAHADEVPURI,0.1,WCL,Coal,G,UG,22.1806,78.7698,"Google Maps: https://www.google.com/maps/place/Mahadevpuri+Coal+Mines+Parasia,+Parasia,+Madhya+Pradesh+480441,+India/@22.1808594,78.7693743,19z/data=!4m5!3m4!1s0x3bd57c35642c8ead:0xe9305a4217d4cb6b!8m2!3d22.1805914!4d78.7697582",Exact,
262,Madhya Pradesh,Chhindwara,NEW SETHIA,0.4,WCL,Coal,G,OC,22.2153,78.8501,"Minutes of the 51st EAC (Thermal & Coal Mining Projects) Meeting held on 5th February, 2016: http://environmentclearance.nic.in/writereaddata/Form-1A/Minutes/0_0_21115125712121FinalMOMof51stEACheldon5thFeb,2016.pdf",Exact,
263,Madhya Pradesh,Chhindwara,CHHINDA,0,WCL,Coal,G,OC,22.2083,78.8333,"WCL Pench - Area Six Monthly Environment Monitoring Report of Chhinda O/C Mine, Data Sheet: http://www.westerncoal.in/sites/default/files/userfiles/ENV-CR-CHHINDA%20OC.pdf ",Exact,
264,Madhya Pradesh,Chhindwara,BARKUI,0,WCL,Coal,G,OC,22.1958,78.6875,"Land Restoration/Reclamation Monitoring, Opencast Coal Mines of WCL, 2018: http://www.westerncoal.in/sites/default/files/userfiles/FINAL_Land%20Reclamation%20wcl_2018.pdf",Exact,
265,Madhya Pradesh,Chhindwara,URDHAN,0,WCL,Coal,G,OC,22.2786,78.9578,Application (Form-I) for Extension of Validity of Environmental Clearance for Urdhan OC: http://environmentclearance.nic.in/writereaddata/modification/previousTOR/12062018VP7TC4OFAnnexure-UpdatedForm-IUrdhan.pdf,Exact,
266,Madhya Pradesh,Chhindwara,SHIVPURI,0,WCL,Coal,G,OC,22.2036,78.8901,"Google Maps: https://www.google.ca/maps/place/Water+Filter+Plant/@22.2024311,78.8893193,685m/data=!3m1!1e3!4m13!1m7!3m6!1s0x3bd56250bfff95c3:0xfede38e3882d626e!2sShivpuri,+Madhya+Pradesh+480441,+India!3b1!8m2!3d22.2008804!4d78.8906295!3m4!1s0x3bd5625a47f681c3:0xc7c8a9d03f937e!8m2!3d22.2044874!4d78.8906416",Approximate: coordinates of water filtration plant in Shivpuri area,
267,Madhya Pradesh,Chhindwara,TANDSI ,0.18,WCL,Coal,G,UG,22.1857,78.3235,Application (Form-I) for Re-validation of Environmental Clearance for Tandsi UG: http://environmentclearance.nic.in/writereaddata/modification/PreviousTOR/18092018SQ540Q0QAnnexure-updatedForm-1.pdf,Exact,
268,Madhya Pradesh,Chhindwara,NANDAN.II,0,WCL,Coal,G,UG,22.2131,78.4357,"Executive Summary EIA & EMP for Public Hearing as per EIA Notification, 2006 Nandan II UG Extn.: http://www.mppcb.nic.in/proc/775-WesternCoal-ESNANDAN%20IIUG-EXTN-English.pdf",Exact,
269,Madhya Pradesh,Chhindwara,"GHORAWARI MINE NO.II
(BHARAT)",0.44,WCL,Coal,G,OC,21.9857854,79.31127565,"Google Maps: https://www.google.com/maps/place/Madhya+Pradesh+480553,+India/@22.0139432,79.3117045,14043m/data=!3m1!1e3!4m8!1m2!2m1!1sChhindwara+District+480553+Bharat+open+cast+coal+mine!3m4!1s0x3bd54c8893e10e89:0x775c89d644b9dd42!8m2!3d21.9975559!4d79.3465557",Approximate: Pincode,
270,Madhya Pradesh,Chhindwara,"GHORAWARI
NO.1(.THARNA UG &
GHORWARI 16/17 OC)",0.2,WCL,Coal,G,Mixed,21.8957854,79.28112756,"Google Maps: https://www.google.com/maps/place/Madhya+Pradesh+480553,+India/@22.0139432,79.3117045,14043m/data=!3m1!1e3!4m8!1m2!2m1!1sChhindwara+District+480553+Bharat+open+cast+coal+mine!3m4!1s0x3bd54c8893e10e89:0x775c89d644b9dd42!8m2!3d21.9975559!4d79.3465557",Approximate: Pincode,
271,Madhya Pradesh,Chhindwara,"MOHAN
(MOHAN/MAURT UG &
MOHAN OC)",0.44,WCL,Coal,G,Mixed,22.1793327,78.67759236,"Google Maps: https://www.google.com/maps/place/22%C2%B010'45.6%22N+78%C2%B040'39.3%22E/@22.1790828,78.6776598,244m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d22.1793283!4d78.6775231",Exact,
272,Madhya Pradesh,Chhindwara,SIAL GHOGRI MINE  (CAPTIVE),0.103,"RCCPL Ltd, a subsidiary of Birla Corp",Coal,P,OC,22.1607,78.6994,"Google Maps: https://www.google.com/maps/place/SIAL+Ghogri+Coal+Mine+RCCPL+PVT+LTD/@22.1607412,78.6983205,344m/data=!3m1!1e3!4m5!3m4!1s0x3bd57f8bc0314021:0xfcc35ff4bb9744b3!8m2!3d22.1607363!4d78.6994166",Exact,
273,Chhattisgarh,Korea,CHURCHA RO,1.59,SECL,Coal,G,UG,23.3342,82.52,"Google Maps: https://www.google.com/maps/place/Churcha+West+Mine/@23.3348692,82.518024,651m/data=!3m1!1e3!4m13!1m7!3m6!1s0x39888cf211565a65:0x3033130ab2b42168!2sChurcha,+Chhattisgarh+497335,+India!3b1!8m2!3d23.3172734!4d82.5258755!3m4!1s0x39888cf7f34bc109:0xe3517bc53b5e077d!8m2!3d23.3342667!4d82.5199199",Approximate: coordinates of Churcha West Mine,
274,Chhattisgarh,Korea,KATKONA 1&2,0.25,SECL,Coal,G,UG,23.3596,82.6808,"Google Maps: https://www.google.com/maps/place/1%262+mine+katkona/@23.3596277,82.67859,685m/data=!3m2!1e3!4b1!4m5!3m4!1s0x3988f1a8a9e65959:0x6f1782dff274e54c!8m2!3d23.3596228!4d82.6807787",Exact,
275,Chhattisgarh,Korea,KATKONA 3&4,0,SECL,Coal,G,UG,23.3567,82.725,Revised & Updated EIA & EMP of Katkona Underground Project: http://environmentclearance.nic.in/writereaddata/modification/Extension/Attach_file/08092018FGXG4C6QEIAexecutivesummery.PDF,Approximate: central coordinates of entire Katkona UG mine,
276,Chhattisgarh,Korea,BARTUNGA HILL,0.16,SECL,Coal,G,UG,23.174,82.335,"Google Maps: https://www.google.com/maps/place/Bartunga+Hill+Mine+Manager+Office/@23.1740259,82.3328254,17z/data=!3m1!4b1!4m5!3m4!1s0x39887d421da54d55:0x47b140a44394a0b6!8m2!3d23.174021!4d82.3350141",Exact,
277,Chhattisgarh,Korea,KURASIA,0.33,SECL,Coal,G,UG,23.1783,82.3682,"Google Maps: https://www.google.com/maps/place/Kurasia+UG+Mine/@23.178215,82.3660097,685m/data=!3m2!1e3!4b1!4m5!3m4!1s0x39887d3378d94e83:0x1f0d93390f9ee9d!8m2!3d23.1782101!4d82.3681984",Exact,
278,Chhattisgarh,Korea,NCPH R6 NEW,0.35,SECL,Coal,G,UG,23.1944,82.3489,"Google Maps: https://www.google.com/maps/place/NCPH+Colliery/@23.1944374,82.3483716,171m/data=!3m1!1e3!4m5!3m4!1s0x39887d7e43448bb5:0x796aac57cf5d9be8!8m2!3d23.1944325!4d82.3489188",Exact,
279,Chhattisgarh,Korea,WEST JKD,0.17,SECL,Coal,G,UG,23.1972,82.1472,West Jhagrakhand Underground Coal Mine Project: http://environmentclearance.nic.in/writereaddata/modification/PreviousTOR/14092018EM0QRWBPForm-I.pdf,Exact,
280,Chhattisgarh,Korea,HALDIBARI,0.66,SECL,Coal,G,UG,23.2232,82.1501,Haldibari UG Coal Mine Project Compliance Certification: http://environmentclearance.nic.in/writereaddata/Compliance/50_3-18-14%20CR%20(J-15).pdf,Exact,
281,Chhattisgarh,Korea,CHIRIMIRI  OC,1.07,SECL,Coal,G,OC,23.1795,82.3384,"Google Maps: https://www.google.com/maps/place/Chirimiri+Open+Cast+Mine/@23.1799769,82.3381579,321m/data=!3m1!1e3!4m12!1m6!3m5!1s0x39887d9bfbfd123b:0xabefa906b1af648c!2sChirimiri+Open+Cast+Mine!8m2!3d23.1794973!4d82.338407!3m4!1s0x39887d9bfbfd123b:0xabefa906b1af648c!8m2!3d23.1794973!4d82.338407",Exact,
282,Chhattisgarh,Korea,PANDAVPARA,0.35,SECL,Coal,G,UG,23.3501,82.7288,"Google Maps: https://www.google.com/maps/place/Pandavpara+Mines/@23.3500657,82.7266146,17z/data=!4m5!3m4!1s0x3988f0840487ad43:0xd8cb401b944c586f!8m2!3d23.3500608!4d82.7288033",Exact,
283,Chhattisgarh,Surguja,JHILIMILI,0.34,SECL,Coal,G,UG,23.3547,82.7301,"Google Maps: https://www.google.com/maps/place/Jhilimili+Mines/@23.3553123,82.7286413,18z/data=!4m12!1m6!3m5!1s0x3988f080c644696f:0x64e575e67bba7db4!2sJhilimili+Mines!8m2!3d23.3547189!4d82.7301058!3m4!1s0x3988f080c644696f:0x64e575e67bba7db4!8m2!3d23.3547189!4d82.7301058",Exact,
284,Chhattisgarh,Surguja,KUMDA 7&8,0.08,SECL,Coal,G,UG,23.2074,83.0056,"Google Maps: https://www.google.com/maps/place/Kumda+Colony+SECL+Hospital/@23.2115355,82.9977406,2736m/data=!3m1!1e3!4m12!1m6!3m5!1s0x3989a9ee7ad311d1:0x8732112d74f93c57!2sKumda+Secl+Tavar!8m2!3d23.2098313!4d83.0060622!3m4!1s0x3989a9edbebab777:0x4095a602351d882d!8m2!3d23.2072743!4d83.0055392",Approximate: coordinates of hospital in Kumda,
285,Chhattisgarh,Surguja,BALRAMPUR,0.11,SECL,Coal,G,UG,23.6169,83.6191,"Google Maps: https://www.google.com/maps/place/New+District+hospital+Balrampur/@23.6085285,83.6108194,15z/data=!4m13!1m7!3m6!1s0x398bdfecb1e9c86b:0xa4ddb7ad019569cd!2sBalrampur,+Chhattisgarh+497119,+India!3b1!8m2!3d23.611174!4d83.610896!3m4!1s0x398bdfc3873cd8bf:0xd70e5852aab56e25!8m2!3d23.61671!4d83.6190355",Approximate: coordinates of hospital in Balrampur ,
286,Chhattisgarh,Surguja,KETKI,0,SECL,Coal,G,UG,23.1385,82.8786,"Google Maps: https://www.google.com/maps/place/Ketka+Hospital/@23.1390626,82.8775173,17z/data=!4m5!3m4!1s0x398855838ecd326d:0x923d32dcdc414c2d!8m2!3d23.1383572!4d82.8784078",Approximate: coordinates of hospital in Ketka village,
287,Chhattisgarh,Surguja,REHAR,0.13,SECL,Coal,G,UG,23.1063,82.9368,Executive Summary of EIA & EMP for Proposed Expansion of Rehar UG Coal Mining Project: https://enviscecb.org/117/ExeSummary_ReharUG_English.pdf,Exact,
288,Chhattisgarh,Surguja,GAYATRI,0.25,SECL,Coal,G,UG,23.1097,82.9051,"Google Maps: https://www.google.com/maps/place/Gayatri+UG+Mine/@23.1096749,82.9040018,18z/data=!4m5!3m4!1s0x3988534b7d2d7a09:0xda794e628d680936!8m2!3d23.10967!4d82.9050961",Exact,
289,Chhattisgarh,Surguja,BISRAMPUR,0,SECL,Coal,G,OC,23.1847941,82.97906321,"Google Maps: https://www.google.com/maps/place/SECL+Area+Office/@23.1809372,82.9792625,1909m/data=!3m1!1e3!4m5!3m4!1s0x3989aa31554375a1:0x16698b016b3010b3!8m2!3d23.1841366!4d82.9770595",Approximate: Near SCCL Area office,
290,Chhattisgarh,Surguja,AMGAON,0,SECL,Coal,G,OC,23.1367,82.83,Project Report for Amgaon Opencast Project: http://forestsclearance.nic.in/writereaddata/FormA/Miningletter/11111012471218YAND3Amgaonminingplan.pdf,Exact,
291,Chhattisgarh,Surguja,AMERA,0,SECL,Coal,G,OC,23.0617,83.0433,Amera Opencast Project Application for Form-I: http://environmentclearance.nic.in/writereaddata/EIA/28042015DSW5U73WFULLEIAAMERA2MTYcompressed_opt.pdf,Exact,
292,Chhattisgarh,Surguja,Parsa East and Kanta Basan (CAPTIVE),15,RRVUNL,Coal,SG,OC,22.8238,82.8124,"Environmental Clearance, Expansion of Parsa East and Kanta Basan Opencast Coal Mine: https://energy.rajasthan.gov.in/content/dam/raj/energy/rvunl/pdf/Event/15MTPA-1ECLetterPEKB_10.08.2018.pdf",Exact,
293,Chhattisgarh,Balrampur,MAHAN-II,2,SECL,Coal,G,OC,23.3654,83.2264,"EIA & EMP for Peak Capacity Of Existing, Approved Mahan II OCP: http://environmentclearance.nic.in/writereaddata/EIA/07102014VG8VLG9YEIAmahanIIOC2mtpaunderClause7ii.pdf",Exact,
294,Chhattisgarh,Balrampur,JAGANNATHPUR,0.09,SECL,Coal,G,OC,23.3704,83.215,Public Consultation Document Executive Summary of EIA/EMP Report of Jagannathpur Opencast Project: https://enviscecb.org/248/English.pdf,Exact,
295,Chhattisgarh,Surajpur,BHATGAON,0.42,SECL,Coal,G,UG,23.3667,83,"Environment Clearance, Bhatgaon Project: http://environmentclearance.nic.in/writereaddata/modification/PreviousTOR/01092018QOEK6WFBFORM1.pdf",Exact,
296,Chhattisgarh,Surajpur,MAHAMAYA,0.04,SECL,Coal,G,UG,23.3815,83.0235,"Google Maps: https://www.google.com/maps/place/Mahamaya+UG+Mine/@23.3813685,83.0212328,684m/data=!3m2!1e3!4b1!4m5!3m4!1s0x398904f02622b0c7:0x2b89cbde3749c28b!8m2!3d23.3813636!4d83.0234215",Exact,
297,Chhattisgarh,Surajpur,SHIWANI,0.31,SECL,Coal,G,UG,23.3498,83.0743,"Google Maps: https://www.google.com/maps/place/Shiwani+UG+Mine/@23.3497258,83.0720476,17z/data=!3m1!4b1!4m5!3m4!1s0x3989058b5d09630f:0x277291c3ea60b7e0!8m2!3d23.3497209!4d83.0742363",Exact,
298,Chhattisgarh,Surajpur,NAWAPARA,0.15,SECL,Coal,G,UG,23.2907,83.0856,Summary of EIA of Nawapara Underground Project: https://enviscecb.org/148/Executive%20Summary_English.pdf,Exact,
299,Chhattisgarh,Surajpur,MAHAN,0.17,SECL,Coal,G,OC,23.3861,83.0183,"Google Maps: https://www.google.ca/maps/place/Mahan+OCM/@23.3753454,82.9908446,5533m/data=!3m1!1e3!4m8!1m2!2m1!1smahan+Chhattisgarh!3m4!1s0x0:0x2a06d756828aa177!8m2!3d23.3859859!4d83.0181885",Exact,
300,Chhattisgarh,Korba,VIJAY WEST,0.5,SECL,Coal,G,UG,22.8542,82.3211,"Google Maps: https://www.google.com/maps/place/Vijay+West+Underground+Mine+(SECL)/@22.8540943,82.3189061,17z/data=!3m1!4b1!4m5!3m4!1s0x39887372f97c3c51:0xb1d1f7b8a879e29a!8m2!3d22.8540894!4d82.3210948",Exact,
301,Chhattisgarh,Korba,RANI ATARI,0.05,SECL,Coal,G,UG,22.8647,82.2989,"Google Maps: https://www.google.com/maps/place/Rani+Atari+u%2Fg+mines/@22.8646277,82.294637,16z/data=!4m12!1m6!3m5!1s0x398875151ea93627:0x3f8e7618085f1e7b!2sRani+Atari+u%2Fg+mines!8m2!3d22.8646241!4d82.2990141!3m4!1s0x398875151ea93627:0x3f8e7618085f1e7b!8m2!3d22.8646241!4d82.2990141",Exact,
